央视卫视频道,#genre#
CCTV1 综合,http://192.168.101.145:8833/TVOD/1000000001000021973/ystenlive/index.m3u8
CCTV2 财经,http://192.168.101.145:8833/TVOD/1000000001000012442/ystenlive/index.m3u8
CCTV3 综艺,http://192.168.101.145:8833/TVOD/1000000001000011218/ystenlive/index.m3u8
CCTV4 中文国际,http://192.168.101.145:8833/TVOD/5000000005000030093/bestzb/index.m3u8
CCTV5 体育,http://192.168.101.145:8833/TVOD/1000000001000004794/ystenlive/index.m3u8
CCTV5+ 体育赛事,http://192.168.101.145:8833/TVOD/1000000001000020505/ystenlive/index.m3u8
CCTV6 电影,http://192.168.101.145:8833/TVOD/1000000001000016466/ystenlive/index.m3u8
CCTV7 国防军事,http://192.168.101.145:8833/TVOD/5000000005000026715/bestzb/index.m3u8
CCTV8 电视剧,http://192.168.101.145:8833/TVOD/1000000001000003736/ystenlive/index.m3u8
CCTV9 记录,http://192.168.101.145:8833/TVOD/1000000001000028286/ystenlive/index.m3u8
CCTV10 科教,http://192.168.101.145:8833/TVOD/1000000001000026367/ystenlive/index.m3u8
CCTV11 戏曲,http://192.168.101.145:8833/TVOD/5000000011000031106/bestzb/index.m3u8
CCTV11 戏曲,http://192.168.101.145:8833/TVOD/1000000005000265011/ystenlive/index.m3u8
CCTV11 戏曲,http://192.168.101.145:8833/TVOD/5000000006000040011/bestzb/index.m3u8
CCTV11 戏曲,http://192.168.101.145:8833/TVOD/1000000002000019789/ystenlive/index.m3u8
CCTV12 社会与法,http://192.168.101.145:8833/TVOD/5000000006000040012/bestzb/index.m3u8
CCTV13 新闻,http://192.168.101.145:8833/TVOD/1000000002000021303/ystenlive/index.m3u8
CCTV14 少儿,http://192.168.101.145:8833/TVOD/1000000001000021349/ystenlive/index.m3u8
CCTV15 音乐,http://192.168.101.145:8833/TVOD/1000000002000008163/ystenlive/index.m3u8
CCTV16 奥林匹克,http://192.168.101.145:8833/TVOD/1000000006000233001/ystenlive/index.m3u8
CCTV17 农业农村,http://192.168.101.145:8833/TVOD/1000000005000056836/ystenlive/index.m3u8
卫视频道,#genre#
安徽卫视,http://192.168.101.145:8833/TVOD/1000000001000020780/ystenlive/index.m3u8
北京纪实科教,http://192.168.101.145:8833/TVOD/1000000001000028380/ystenlive/index.m3u8
北京卡酷少儿,http://192.168.101.145:8833/TVOD/6000000003000002709/wasusyt/index.m3u8
北京卫视,http://192.168.101.145:8833/TVOD/1000000001000017156/ystenlive/index.m3u8
福建东南卫视,http://192.168.101.145:8833/TVOD/1000000002000009263/ystenlive/index.m3u8
甘肃卫视,http://192.168.101.145:8833/TVOD/5000000006000040021/bestzb/index.m3u8
广东卫视,http://192.168.101.145:8833/TVOD/1000000001000028357/ystenlive/index.m3u8
广西卫视,http://192.168.101.145:8833/TVOD/5000000006000040014/bestzb/index.m3u8
贵州卫视,http://192.168.101.145:8833/TVOD/1000000002000003169/ystenlive/index.m3u8
海南卫视,http://192.168.101.145:8833/TVOD/1000000002000023773/ystenlive/index.m3u8
河北卫视,http://192.168.101.145:8833/TVOD/5000000006000040016/bestzb/index.m3u8
河北卫视,http://192.168.101.145:8833/TVOD/1000000002000017118/ystenlive/index.m3u8
河南卫视,http://192.168.101.145:8833/TVOD/5000000005000017925/bestzb/index.m3u8
黑龙江卫视,http://192.168.101.145:8833/TVOD/1000000001000009082/ystenlive/index.m3u8
湖北卫视,http://192.168.101.145:8833/TVOD/1000000001000010355/ystenlive/index.m3u8
湖南卫视,http://192.168.101.145:8833/TVOD/1000000001000009115/ystenlive/index.m3u8
吉林卫视,http://192.168.101.145:8833/TVOD/5000000006000040013/bestzb/index.m3u8
江苏卫视,http://192.168.101.145:8833/TVOD/1000000001000004684/ystenlive/index.m3u8
江西卫视,http://192.168.101.145:8833/TVOD/1000000001000013731/ystenlive/index.m3u8
辽宁卫视,http://192.168.101.145:8833/TVOD/1000000002000024033/ystenlive/index.m3u8
内蒙古卫视,http://192.168.101.145:8833/TVOD/1000000002000014080/ystenlive/index.m3u8
宁夏卫视,http://192.168.101.145:8833/TVOD/5000000006000040022/bestzb/index.m3u8
青海卫视,http://192.168.101.145:8833/TVOD/5000000006000040015/bestzb/index.m3u8
厦门卫视,http://192.168.101.145:8833/TVOD/1000000005000266006/ystenlive/index.m3u8
山东卫视,http://192.168.101.145:8833/TVOD/1000000001000012807/ystenlive/index.m3u8
